{'stateEstimate.x': 0.08899461477994919, 'stateEstimate.y': -0.07825352251529694}
{'stateEstimate.x': 0.08896340429782867, 'stateEstimate.y': -0.07821192592382431}
{'stateEstimate.x': 0.08897806704044342, 'stateEstimate.y': -0.07822651416063309}
{'stateEstimate.x': 0.08893472701311111, 'stateEstimate.y': -0.078191377222538}
{'stateEstimate.x': 0.08894933015108109, 'stateEstimate.y': -0.07820672541856766}
{'stateEstimate.x': 0.08891353011131287, 'stateEstimate.y': -0.07820454984903336}
{'stateEstimate.x': 0.08892772346735, 'stateEstimate.y': -0.07822071760892868}
{'stateEstimate.x': 0.08891359716653824, 'stateEstimate.y': -0.07817869633436203}
{'stateEstimate.x': 0.08893076330423355, 'stateEstimate.y': -0.07819202542304993}
{'stateEstimate.x': 0.08891657739877701, 'stateEstimate.y': -0.07815290987491608}
{'stateEstimate.x': 0.08893602341413498, 'stateEstimate.y': -0.07816465198993683}
{'stateEstimate.x': 0.0889313742518425, 'stateEstimate.y': -0.07814200967550278}
{'stateEstimate.x': 0.0889504998922348, 'stateEstimate.y': -0.07815220952033997}
{'stateEstimate.x': 0.08891955763101578, 'stateEstimate.y': -0.0781196877360344}
{'stateEstimate.x': 0.08893954753875732, 'stateEstimate.y': -0.07813091576099396}
{'stateEstimate.x': 0.0889398530125618, 'stateEstimate.y': -0.07812551409006119}
{'stateEstimate.x': 0.08896079659461975, 'stateEstimate.y': -0.07813648134469986}
{'stateEstimate.x': 0.08895391970872879, 'stateEstimate.y': -0.0781070739030838}
{'stateEstimate.x': 0.08897555619478226, 'stateEstimate.y': -0.07811792939901352}
{'stateEstimate.x': 0.08893778920173645, 'stateEstimate.y': -0.07809972018003464}
{'stateEstimate.x': 0.08895844221115112, 'stateEstimate.y': -0.07811289280653}
{'stateEstimate.x': 0.08891738951206207, 'stateEstimate.y': -0.07808750867843628}
{'stateEstimate.x': 0.08893638104200363, 'stateEstimate.y': -0.07810194790363312}
{'stateEstimate.x': 0.08892367780208588, 'stateEstimate.y': -0.07810509204864502}
{'stateEstimate.x': 0.0889437273144722, 'stateEstimate.y': -0.07811899483203888}
{'stateEstimate.x': 0.08891702443361282, 'stateEstimate.y': -0.078123539686203}
{'stateEstimate.x': 0.08893687278032303, 'stateEstimate.y': -0.07813823968172073}
{'stateEstimate.x': 0.08893343061208725, 'stateEstimate.y': -0.07814231514930725}
{'stateEstimate.x': 0.08895527571439743, 'stateEstimate.y': -0.07815702259540558}
{'stateEstimate.x': 0.08891736716032028, 'stateEstimate.y': -0.07812557369470596}
{'stateEstimate.x': 0.08893775194883347, 'stateEstimate.y': -0.07813959568738937}
{'stateEstimate.x': 0.08887892961502075, 'stateEstimate.y': -0.07811648398637772}
{'stateEstimate.x': 0.08889751136302948, 'stateEstimate.y': -0.07813168317079544}
{'stateEstimate.x': 0.08886497467756271, 'stateEstimate.y': -0.07810764759778976}
{'stateEstimate.x': 0.0888831689953804, 'stateEstimate.y': -0.0781230479478836}
{'stateEstimate.x': 0.08883361518383026, 'stateEstimate.y': -0.07806874811649323}
{'stateEstimate.x': 0.08885345607995987, 'stateEstimate.y': -0.07808493822813034}
{'stateEstimate.x': 0.08879360556602478, 'stateEstimate.y': -0.07800675928592682}
{'stateEstimate.x': 0.08881345391273499, 'stateEstimate.y': -0.07802076637744904}
{'stateEstimate.x': 0.08877433091402054, 'stateEstimate.y': -0.07797704637050629}
{'stateEstimate.x': 0.08879276365041733, 'stateEstimate.y': -0.0779879093170166}
{'stateEstimate.x': 0.08880002796649933, 'stateEstimate.y': -0.07797118276357651}
{'stateEstimate.x': 0.08882003277540207, 'stateEstimate.y': -0.07797876000404358}
{'stateEstimate.x': 0.08878950774669647, 'stateEstimate.y': -0.07794569432735443}
{'stateEstimate.x': 0.08880898356437683, 'stateEstimate.y': -0.07795306295156479}
{'stateEstimate.x': 0.08876651525497437, 'stateEstimate.y': -0.07790853083133698}
{'stateEstimate.x': 0.08878564089536667, 'stateEstimate.y': -0.077915258705616}
{'stateEstimate.x': 0.0887722298502922, 'stateEstimate.y': -0.07793814688920975}
{'stateEstimate.x': 0.08879095315933228, 'stateEstimate.y': -0.07794828712940216}
{'stateEstimate.x': 0.08877776563167572, 'stateEstimate.y': -0.0779554694890976}
{'stateEstimate.x': 0.08879830688238144, 'stateEstimate.y': -0.07796704769134521}
{'stateEstimate.x': 0.0, 'stateEstimate.y': 0.0}
{'stateEstimate.x': 2.8488937005022308e-06, 'stateEstimate.y': 6.820293037890224e-06}
{'stateEstimate.x': -0.03827062249183655, 'stateEstimate.y': 0.07659490406513214}
{'stateEstimate.x': -0.038251135498285294, 'stateEstimate.y': 0.07663466036319733}
{'stateEstimate.x': -0.0404963456094265, 'stateEstimate.y': 0.0763721838593483}
{'stateEstimate.x': -0.04060480743646622, 'stateEstimate.y': 0.07601891458034515}
{'stateEstimate.x': -0.03744513913989067, 'stateEstimate.y': 0.07102108001708984}
{'stateEstimate.x': -0.03756450116634369, 'stateEstimate.y': 0.0704401433467865}
{'stateEstimate.x': -0.03468022495508194, 'stateEstimate.y': 0.06692058593034744}
{'stateEstimate.x': -0.03473982959985733, 'stateEstimate.y': 0.0663527101278305}
{'stateEstimate.x': -0.03254089504480362, 'stateEstimate.y': 0.06426425278186798}
{'stateEstimate.x': -0.0325162298977375, 'stateEstimate.y': 0.06382559984922409}
{'stateEstimate.x': -0.03248060867190361, 'stateEstimate.y': 0.0634063109755516}
{'stateEstimate.x': -0.032434724271297455, 'stateEstimate.y': 0.06300688534975052}
{'stateEstimate.x': -0.030218960717320442, 'stateEstimate.y': 0.062107887119054794}
{'stateEstimate.x': -0.030064275488257408, 'stateEstimate.y': 0.06198711320757866}
{'stateEstimate.x': -0.027266740798950195, 'stateEstimate.y': 0.05914895236492157}
{'stateEstimate.x': -0.027037521824240685, 'stateEstimate.y': 0.05911698937416077}
{'stateEstimate.x': -0.02405422553420067, 'stateEstimate.y': 0.05578719452023506}
{'stateEstimate.x': -0.023745091632008553, 'stateEstimate.y': 0.055776141583919525}
{'stateEstimate.x': -0.02063782699406147, 'stateEstimate.y': 0.052114441990852356}
{'stateEstimate.x': -0.020240014418959618, 'stateEstimate.y': 0.052064843475818634}
{'stateEstimate.x': -0.017104098573327065, 'stateEstimate.y': 0.048164572566747665}
{'stateEstimate.x': -0.016616839915513992, 'stateEstimate.y': 0.04802752286195755}
{'stateEstimate.x': -0.013404629193246365, 'stateEstimate.y': 0.043930310755968094}
{'stateEstimate.x': -0.012821316719055176, 'stateEstimate.y': 0.043676186352968216}
{'stateEstimate.x': -0.009546919725835323, 'stateEstimate.y': 0.039419569075107574}
{'stateEstimate.x': -0.00886659137904644, 'stateEstimate.y': 0.03902548551559448}
{'stateEstimate.x': -0.005501074716448784, 'stateEstimate.y': 0.034635283052921295}
{'stateEstimate.x': -0.004719691816717386, 'stateEstimate.y': 0.03409077972173691}
{'stateEstimate.x': -0.0012715072371065617, 'stateEstimate.y': 0.029596349224448204}
{'stateEstimate.x': -0.00038866762770339847, 'stateEstimate.y': 0.028897853568196297}
{'stateEstimate.x': 0.0031415221747010946, 'stateEstimate.y': 0.02431666851043701}
{'stateEstimate.x': 0.004124927334487438, 'stateEstimate.y': 0.023465290665626526}
{'stateEstimate.x': 0.007743548601865768, 'stateEstimate.y': 0.018827825784683228}
{'stateEstimate.x': 0.008828910999000072, 'stateEstimate.y': 0.01782972179353237}
{'stateEstimate.x': 0.012464199215173721, 'stateEstimate.y': 0.013198032975196838}
{'stateEstimate.x': 0.013649774715304375, 'stateEstimate.y': 0.01205937098711729}
{'stateEstimate.x': 0.01730664074420929, 'stateEstimate.y': 0.007399197202175856}
{'stateEstimate.x': 0.018587326630949974, 'stateEstimate.y': 0.006123777013272047}
{'stateEstimate.x': 0.022234324365854263, 'stateEstimate.y': 0.0014868916478008032}
{'stateEstimate.x': 0.0236052256077528, 'stateEstimate.y': 7.973168976604939e-05}
{'stateEstimate.x': 0.027260731905698776, 'stateEstimate.y': -0.00450053671374917}
{'stateEstimate.x': 0.02872251719236374, 'stateEstimate.y': -0.006028808653354645}
{'stateEstimate.x': 0.03227715939283371, 'stateEstimate.y': -0.010497740469872952}
{'stateEstimate.x': 0.033819980919361115, 'stateEstimate.y': -0.012138264253735542}
{'stateEstimate.x': 0.03731536492705345, 'stateEstimate.y': -0.016491040587425232}
{'stateEstimate.x': 0.038935888558626175, 'stateEstimate.y': -0.01823427341878414}
{'stateEstimate.x': 0.0422993078827858, 'stateEstimate.y': -0.022419093176722527}
{'stateEstimate.x': 0.04399041831493378, 'stateEstimate.y': -0.024254396557807922}
{'stateEstimate.x': 0.04721502587199211, 'stateEstimate.y': -0.02827017940580845}
{'stateEstimate.x': 0.048968251794576645, 'stateEstimate.y': -0.03018842451274395}
{'stateEstimate.x': 0.05202401429414749, 'stateEstimate.y': -0.03399078547954559}
{'stateEstimate.x': 0.0538313053548336, 'stateEstimate.y': -0.03598175570368767}
{'stateEstimate.x': 0.056782908737659454, 'stateEstimate.y': -0.03963790088891983}
{'stateEstimate.x': 0.0586402527987957, 'stateEstimate.y': -0.04169298708438873}
{'stateEstimate.x': 0.06140615791082382, 'stateEstimate.y': -0.045121464878320694}
{'stateEstimate.x': 0.06330506503582001, 'stateEstimate.y': -0.04723343998193741}
{'stateEstimate.x': 0.06587003916501999, 'stateEstimate.y': -0.05044008046388626}
{'stateEstimate.x': 0.06780250370502472, 'stateEstimate.y': -0.052599698305130005}
{'stateEstimate.x': 0.07019582390785217, 'stateEstimate.y': -0.05558377131819725}
{'stateEstimate.x': 0.07215455919504166, 'stateEstimate.y': -0.057781778275966644}
{'stateEstimate.x': 0.07436181604862213, 'stateEstimate.y': -0.06055164709687233}
{'stateEstimate.x': 0.07634168118238449, 'stateEstimate.y': -0.06278136372566223}
{'stateEstimate.x': 0.07835748791694641, 'stateEstimate.y': -0.06528909504413605}
{'stateEstimate.x': 0.08035280555486679, 'stateEstimate.y': -0.06754074990749359}
{'stateEstimate.x': 0.08222083747386932, 'stateEstimate.y': -0.06982026249170303}
{'stateEstimate.x': 0.08422936499118805, 'stateEstimate.y': -0.0720832347869873}
{'stateEstimate.x': 0.08589287847280502, 'stateEstimate.y': -0.07416766881942749}
{'stateEstimate.x': 0.08735459297895432, 'stateEstimate.y': -0.075983427464962}
{'stateEstimate.x': 0.08934307098388672, 'stateEstimate.y': -0.07824228703975677}
{'stateEstimate.x': 0.09134991466999054, 'stateEstimate.y': -0.08051139861345291}
{'stateEstimate.x': 0.0926285907626152, 'stateEstimate.y': -0.08214998245239258}
{'stateEstimate.x': 0.09462551027536392, 'stateEstimate.y': -0.08441589027643204}
{'stateEstimate.x': 0.0957283228635788, 'stateEstimate.y': -0.08584095537662506}
{'stateEstimate.x': 0.09771125018596649, 'stateEstimate.y': -0.08809676766395569}
{'stateEstimate.x': 0.0986420139670372, 'stateEstimate.y': -0.08929817378520966}
{'stateEstimate.x': 0.10060664266347885, 'stateEstimate.y': -0.09153581410646439}
{'stateEstimate.x': 0.10137444734573364, 'stateEstimate.y': -0.0925469622015953}
{'stateEstimate.x': 0.10331856459379196, 'stateEstimate.y': -0.09476439654827118}
{'stateEstimate.x': 0.10390891879796982, 'stateEstimate.y': -0.0956069678068161}
{'stateEstimate.x': 0.10582594573497772, 'stateEstimate.y': -0.09780006855726242}
{'stateEstimate.x': 0.10627750307321548, 'stateEstimate.y': -0.09842037409543991}
{'stateEstimate.x': 0.10816582292318344, 'stateEstimate.y': -0.10058362782001495}
{'stateEstimate.x': 0.10848399251699448, 'stateEstimate.y': -0.10104990005493164}
{'stateEstimate.x': 0.11034312844276428, 'stateEstimate.y': -0.1031808853149414}
{'stateEstimate.x': 0.11050234735012054, 'stateEstimate.y': -0.10342282801866531}
{'stateEstimate.x': 0.11233203858137131, 'stateEstimate.y': -0.10551462322473526}
{'stateEstimate.x': 0.11239930242300034, 'stateEstimate.y': -0.1056530773639679}
{'stateEstimate.x': 0.11419682204723358, 'stateEstimate.y': -0.10770494490861893}
{'stateEstimate.x': 0.11412948369979858, 'stateEstimate.y': -0.10769706964492798}
{'stateEstimate.x': 0.11589062213897705, 'stateEstimate.y': -0.10971016436815262}
{'stateEstimate.x': 0.11569280922412872, 'stateEstimate.y': -0.10955402255058289}
{'stateEstimate.x': 0.11741551011800766, 'stateEstimate.y': -0.11152590811252594}
{'stateEstimate.x': 0.11708243936300278, 'stateEstimate.y': -0.11120405048131943}
{'stateEstimate.x': 0.11876172572374344, 'stateEstimate.y': -0.1131289005279541}
{'stateEstimate.x': 0.118299700319767, 'stateEstimate.y': -0.11266108602285385}
{'stateEstimate.x': 0.11993430554866791, 'stateEstimate.y': -0.11453741043806076}
{'stateEstimate.x': 0.11942272633314133, 'stateEstimate.y': -0.11397252231836319}
{'stateEstimate.x': 0.12101669609546661, 'stateEstimate.y': -0.11579699069261551}
{'stateEstimate.x': 0.12033319473266602, 'stateEstimate.y': -0.11507461965084076}
{'stateEstimate.x': 0.12188147008419037, 'stateEstimate.y': -0.11684887856245041}
{'stateEstimate.x': 0.12111426889896393, 'stateEstimate.y': -0.11599261313676834}
{'stateEstimate.x': 0.1226167306303978, 'stateEstimate.y': -0.11771474778652191}
{'stateEstimate.x': 0.12181636691093445, 'stateEstimate.y': -0.11684203147888184}
{'stateEstimate.x': 0.12327305972576141, 'stateEstimate.y': -0.11851297318935394}
{'stateEstimate.x': 0.12234410643577576, 'stateEstimate.y': -0.11750028282403946}
{'stateEstimate.x': 0.1237526535987854, 'stateEstimate.y': -0.11911771446466446}
{'stateEstimate.x': 0.1227586641907692, 'stateEstimate.y': -0.11801229417324066}
{'stateEstimate.x': 0.12411974370479584, 'stateEstimate.y': -0.11957624554634094}
{'stateEstimate.x': 0.12309053540229797, 'stateEstimate.y': -0.11840183287858963}
{'stateEstimate.x': 0.12440409511327744, 'stateEstimate.y': -0.11991044878959656}
{'stateEstimate.x': 0.12326791137456894, 'stateEstimate.y': -0.11862999945878983}
{'stateEstimate.x': 0.12453100830316544, 'stateEstimate.y': -0.12008161097764969}
{'stateEstimate.x': 0.12336854636669159, 'stateEstimate.y': -0.11873986572027206}
{'stateEstimate.x': 0.12458489835262299, 'stateEstimate.y': -0.12013309448957443}
{'stateEstimate.x': 0.12340623140335083, 'stateEstimate.y': -0.11876962333917618}
{'stateEstimate.x': 0.12457671761512756, 'stateEstimate.y': -0.12010769546031952}
{'stateEstimate.x': 0.12330998480319977, 'stateEstimate.y': -0.11866432428359985}
{'stateEstimate.x': 0.12443267554044724, 'stateEstimate.y': -0.11994785070419312}
{'stateEstimate.x': 0.12317066639661789, 'stateEstimate.y': -0.11848169565200806}
{'stateEstimate.x': 0.12424750626087189, 'stateEstimate.y': -0.11971000581979752}
{'stateEstimate.x': 0.12292446196079254, 'stateEstimate.y': -0.11818606406450272}
{'stateEstimate.x': 0.12395445257425308, 'stateEstimate.y': -0.1193598061800003}
{'stateEstimate.x': 0.12258950620889664, 'stateEstimate.y': -0.1178167313337326}
{'stateEstimate.x': 0.12357231229543686, 'stateEstimate.y': -0.11893954873085022}
{'stateEstimate.x': 0.12222383916378021, 'stateEstimate.y': -0.11738337576389313}
{'stateEstimate.x': 0.12316212058067322, 'stateEstimate.y': -0.11845286190509796}
{'stateEstimate.x': 0.12181078642606735, 'stateEstimate.y': -0.11689746379852295}
{'stateEstimate.x': 0.12270403653383255, 'stateEstimate.y': -0.11791340261697769}
{'stateEstimate.x': 0.12133453786373138, 'stateEstimate.y': -0.11635275930166245}
{'stateEstimate.x': 0.12218409031629562, 'stateEstimate.y': -0.11731800436973572}
{'stateEstimate.x': 0.1208098828792572, 'stateEstimate.y': -0.11572141200304031}
{'stateEstimate.x': 0.12161716818809509, 'stateEstimate.y': -0.116634801030159}
{'stateEstimate.x': 0.12019436061382294, 'stateEstimate.y': -0.11501532793045044}
{'stateEstimate.x': 0.1209542527794838, 'stateEstimate.y': -0.11587870121002197}
{'stateEstimate.x': 0.11954247951507568, 'stateEstimate.y': -0.11424964666366577}
{'stateEstimate.x': 0.12025757879018784, 'stateEstimate.y': -0.11506189405918121}
{'stateEstimate.x': 0.11885665357112885, 'stateEstimate.y': -0.1134665310382843}
{'stateEstimate.x': 0.11953054368495941, 'stateEstimate.y': -0.11423302441835403}
{'stateEstimate.x': 0.1181277483701706, 'stateEstimate.y': -0.11262060701847076}
{'stateEstimate.x': 0.11876096576452255, 'stateEstimate.y': -0.1133398786187172}
{'stateEstimate.x': 0.11742964386940002, 'stateEstimate.y': -0.11177867650985718}
{'stateEstimate.x': 0.11802537739276886, 'stateEstimate.y': -0.1124499961733818}
{'stateEstimate.x': 0.11666863411664963, 'stateEstimate.y': -0.11086728423833847}
{'stateEstimate.x': 0.1172817200422287, 'stateEstimate.y': -0.1115540936589241}
{'stateEstimate.x': 0.1160101518034935, 'stateEstimate.y': -0.11007021367549896}
{'stateEstimate.x': 0.1160101518034935, 'stateEstimate.y': -0.11007021367549896}
{'stateEstimate.x': 0.11512913554906845, 'stateEstimate.y': -0.10902785509824753}
{'stateEstimate.x': 0.11560985445976257, 'stateEstimate.y': -0.1095627173781395}
{'stateEstimate.x': 0.11608666926622391, 'stateEstimate.y': -0.11009126156568527}
{'stateEstimate.x': 0.11608666926622391, 'stateEstimate.y': -0.11009126156568527}
{'stateEstimate.x': 0.11515026539564133, 'stateEstimate.y': -0.10899733006954193}
{'stateEstimate.x': 0.11374597996473312, 'stateEstimate.y': -0.10736606270074844}
{'stateEstimate.x': 0.11415228247642517, 'stateEstimate.y': -0.10781790316104889}
{'stateEstimate.x': 0.11415228247642517, 'stateEstimate.y': -0.10781790316104889}
{'stateEstimate.x': 0.11311696469783783, 'stateEstimate.y': -0.10665012151002884}
{'stateEstimate.x': 0.11311696469783783, 'stateEstimate.y': -0.10665012151002884}
{'stateEstimate.x': 0.11213114857673645, 'stateEstimate.y': -0.10548631846904755}
{'stateEstimate.x': 0.11213114857673645, 'stateEstimate.y': -0.10548631846904755}
{'stateEstimate.x': 0.11117862164974213, 'stateEstimate.y': -0.10437454283237457}
{'stateEstimate.x': 0.11117862164974213, 'stateEstimate.y': -0.10437454283237457}
{'stateEstimate.x': 0.11017980426549911, 'stateEstimate.y': -0.10321687906980515}
{'stateEstimate.x': 0.11017980426549911, 'stateEstimate.y': -0.10321687906980515}
{'stateEstimate.x': 0.10926877707242966, 'stateEstimate.y': -0.10213512927293777}
{'stateEstimate.x': 0.10926877707242966, 'stateEstimate.y': -0.10213512927293777}
{'stateEstimate.x': 0.10833169519901276, 'stateEstimate.y': -0.10104774683713913}
{'stateEstimate.x': 0.10833169519901276, 'stateEstimate.y': -0.10104774683713913}
{'stateEstimate.x': 0.10741742700338364, 'stateEstimate.y': -0.09999227523803711}
{'stateEstimate.x': 0.10741742700338364, 'stateEstimate.y': -0.09999227523803711}
{'stateEstimate.x': 0.10656487196683884, 'stateEstimate.y': -0.09897010028362274}
{'stateEstimate.x': 0.10656487196683884, 'stateEstimate.y': -0.09897010028362274}
{'stateEstimate.x': 0.1057179793715477, 'stateEstimate.y': -0.0979505106806755}
{'stateEstimate.x': 0.1057179793715477, 'stateEstimate.y': -0.0979505106806755}
{'stateEstimate.x': 0.10481225699186325, 'stateEstimate.y': -0.0968804880976677}
{'stateEstimate.x': 0.10481225699186325, 'stateEstimate.y': -0.0968804880976677}
{'stateEstimate.x': 0.103978231549263, 'stateEstimate.y': -0.09590479731559753}
{'stateEstimate.x': 0.103978231549263, 'stateEstimate.y': -0.09590479731559753}
{'stateEstimate.x': 0.1031951829791069, 'stateEstimate.y': -0.09497294574975967}
{'stateEstimate.x': 0.1031951829791069, 'stateEstimate.y': -0.09497294574975967}
{'stateEstimate.x': 0.10244682431221008, 'stateEstimate.y': -0.09405361115932465}
{'stateEstimate.x': 0.10244682431221008, 'stateEstimate.y': -0.09405361115932465}
{'stateEstimate.x': 0.10166589915752411, 'stateEstimate.y': -0.09314534813165665}
{'stateEstimate.x': 0.10166589915752411, 'stateEstimate.y': -0.09314534813165665}
{'stateEstimate.x': 0.10087598860263824, 'stateEstimate.y': -0.09223669767379761}
{'stateEstimate.x': 0.10087598860263824, 'stateEstimate.y': -0.09223669767379761}
{'stateEstimate.x': 0.1001395657658577, 'stateEstimate.y': -0.09137823432683945}
{'stateEstimate.x': 0.1001395657658577, 'stateEstimate.y': -0.09137823432683945}
{'stateEstimate.x': 0.0993986576795578, 'stateEstimate.y': -0.09052053838968277}
{'stateEstimate.x': 0.0993986576795578, 'stateEstimate.y': -0.09052053838968277}
{'stateEstimate.x': 0.09866963326931, 'stateEstimate.y': -0.08967973291873932}
{'stateEstimate.x': 0.09866963326931, 'stateEstimate.y': -0.08967973291873932}
{'stateEstimate.x': 0.09798689931631088, 'stateEstimate.y': -0.08885972201824188}
{'stateEstimate.x': 0.0973956361413002, 'stateEstimate.y': -0.08815141022205353}
{'stateEstimate.x': 0.09732402861118317, 'stateEstimate.y': -0.08805258572101593}
